address,emergency_end_stakes
0x7E5267c3025Bffc103bf541650555169FA0681de,1
0x5853eD4f26A3fceA565b3FBC698bb19cdF6DEB85,1
0xe8C6C9943F3EC41Cd17B05B08Eedbd64CA714511,5
0x46290e7767e5D3227deef4D1276f13e5918A781D,1
0xBe26680A995840A71106528301D47A5FaAeF52da,1
0xf8a843dDd974134443BeD41b7b43F4e4d493CC79,3
0x469E829c7a2ea0F0Cc621396417dB5501ac24B51,1
0x4740907Aee98C0DeD96Aaf1fb732dFB87895f77B,1
0xc96da7FC95a411BEDd780d721d683A2EC3fB621A,1
0xcDb6990eA4897eee09125B73b4da13203650a553,1
0x44190897aEd12Dd67Fa19C556DBf9B19390f1Cd4,2
0x0b87111C151b73fd4499DC149dF7FbBB90288E39,7
0xe55659B88D58c058801a2F81aC8E147E9F2AD64B,1
0x9eaDe58f254653f1e8f7d3fABfa5ecA53850414e,1
0x34AAe52cB5877675CBE88B6833193689461CD5c7,10
0x70D0e3CF4879657D8d60EaA8729A675c36A14bF0,8
0xF3150533FbB137de865D148adedB08c9F1520F60,3
0x5Dbc201F2d961518B1F1f3a64334E7662104ac17,1
0xb351318657C495D61b52b5e2d7b5505238E32A65,1
0xb1cbB01A843cfF9BD86185636DE7a8E5a9C996ee,7
0xD8b2a16D5151840711bfF9787301108A24008Eb3,2
0x98639dEC091Fb47a90FeE0371A31CdAf8FeCd13B,1
0x7EB2fa3fAC8a5eA02Ec3597ad584555873Cf90b0,2
0xF8Da2E99ED729E4540dC02a3a7a38F3A8C4377e0,13
0x003980B19696718b2E8eD54beF8Bd9869Fa45187,1
0x43ee1d0368EB49A54C262db04e7B0EF7a75B57D8,1
0xAc0f408F0a56DE31B26C60f26ABc1D4BA2115Ca8,2
0x5d4b9755869Dd29458e00bADa35DBa0A405Af384,2
0x26A6dC267e276Fded7b40251C8fc08B1b40df367,1
0x0cFaE945a3b5ad1FCa1f8b9381df56006dDBf2e3,1
0x2EBc50d5d06CDe280723f9272eE9d479d94A2b1A,1
0x2FFc1Fe9A09693e2dEDFFA5d1853096b3fEdFF55,1
0xF4c60997C588f84Cd20A8db4041538D1c85A4D71,2
0x1fCD67112874C12B3c49c5805a17Ae2322D9bBd1,1
0xe7350c5ff554F2c9E7332e2994Cb3260Bb1cd1E8,1
0x9dc790e5E5D59E7661Ca071Fd08171C3981A581E,1
0xF1a2A4A998F54eb7aF2679e2296F6a3F33Bc4869,3
0xa6E4BeF80cffc2b8d6Ef3E79cCBE8E722D079270,1
0xF48Bf7A58c0083Ed8f08Fd85d7e824d1Fa18163D,1
0xE33D44ee5AA3A5E7Ac44aAF4B5959d23D7a1F9Dd,1
0xb3816c937d736d3f3E6f6EDD0b571316f6D917B3,2
0x4241d02d28D1bB661651154CF4D49d17086b22dC,1
0xb4aCD790626423b54E13EF08e496F0bf121fD095,1
0xC6ad9C1F97D7bC8F8b3713207cBdEB94c69BB993,147
0x98C29FA04E0D5b9C03Bc3764fc6638810eBC90Cb,3
0xb05C8aa5353593AB51D0e71A754696D769616Cbe,2
0xEE90A2B6c59D6650ed70Cc7390C8026caE6d10ac,1
0x7EEC1992852D626B843a256EE692015AF346Fd6d,1
0xeE3cCaB78aeF43e266154E4297711fbFD117962A,16
0x89148Dd90C89bF1f441e721b221ce87f953ad7bb,1
0x66eD8f9a5d4CDA066752D8cD3d0AcAb667800a8f,1
0xb074dB929B9B80e4478Cd0e265dE4BF58Df7c1d0,1
0x78974559c06f1fE77f62A2a1a33b6B13dcd7B9B4,2
0x1035191dC2d0a5AFCb04e79CC94d46f959bd5279,1
0xdda203502b05DF24ea62b8a257A950c6eb03c450,2
0x7c13c4c11A7f8A47cfa37D9B2c44f3B37ED99f52,1
0x8878BDE6E913D5Cc7Ae70Ea6fBd3bfe63B4DB91E,3
0xe46290a5201Ab400Bf0a42C052CB24fC3831FEe2,2
0xA931e228f195f1a2ECda7937A7412a207eEC2aBa,2
0xEc7A5B7736fC4Be50F99d890d7fed7d0cB15098c,5
0x5AeC4374C21F00AED9f9e413629BAD75f437B3cC,23
