address,net_sold_usdc
0x02a561eac513d03c729BE304CDA5cc4AE5621FE1,-145253.719644
0x02bc1C32357A9DdaFEC86982DE3C860419c785fC,-4120680.315857
0x032413abD6FD728B183a1bb582aCF6e508acb2b4,-97666.860067
0x03337091633e8285436b49140E5775e49bcc4ABF,-57649.341700
0x0338CE5020c447f7e668DC2ef778025CE398266B,-67020.478379
0x0373EbB8BF093880aa7761e2E7e4EbeF89A328fa,-107937.854179
0x0384C5C1C0C1Bb29E297B7a2FF27a370c3178AbD,-66590.874240
0x03Bd9cee9ce7C3661d50F6Ef5401603Be3016Fdd,-61598.499695
0x03C2802aE38E84e7870FC9C38a4015a896898fa5,-161171.752052
0x03C558AEe40a9FcED1CaBE9B465Bae8096E05230,-53819.741524
0x03C72e32FdD2fee86A0ed9862Cd22805F11a9818,-550100.228358
0x03d9A74192300Ff7bb4BD5d3e1Cb7EC2F331D890,-1116206.722343
0x03eb34b7D9C6434eCdB942700F8De821c47C237D,-70661.407315
0x03feBC6473433A7c75c566bC87C57FeEAAfB711e,-79234.185909
0x040443e8a16Cb822fB96414970CA2A56d193f488,-60081.166708
0x04267449fD3fe4cC5EA68c4d7175E3A1738A2936,-62073.943562
0x043DC36b3818cE4891B56cbBc0284044293D4693,-616038.720899
0x044c2860c1037F27Fa496EF753C9365bf7BB333E,-70225.506571
0x047eA31614FC085cE7B80412FBaB65fD51a8bb7a,-58490.178752
0x0497bC59334E1085Bb78e41A5193B8B4ACe6aa8f,-68365.591941
0x04A85dcEE58d44bda20691a3639dCCcc8618f700,-529571.366529
0x04Af7239E60A1c4af203bc7760B19AA81439e224,-460857.689526
0x04B188AB85f1Df6951d46E98F6AE875918fACe99,-110914.258993
0x04C9d6d2a3Ca3C64Dff6488e0E1df38dc9100F02,-68369.902470
0x04CB6CD5AADA830C754E8f3C760455700eab0409,-144077.044146
0x04Cc84c48fbb4b670e648b5E0ece2b07773daCf5,-349750.374423
